Recruiter_Name,Recruiter_Email,Organization_Name,Job_Role,Job_Link
,,Grok Global Services,International Student Recruitment Advisor,https://grokglobal.bamboohr.com/careers/262
,,"FocusKPI, Inc.",AI Engineer Trainee,https://focuskpi.applytojob.com/apply/nsxpykpoe4/internal-ai-engineer-trainee
,,Defense Unicorns,"Platform Engineer, SkillBridge Intern",https://boards.greenhouse.io/defenseunicorns/jobs/4661526007
,,GuidePoint Security,Cybersecurity Intern,https://boards.greenhouse.io/guidepointsecurity/jobs/5547857004
,,Charity Navigator,Intern - Data Science,https://alsacstjude.wd1.myworkdayjobs.com/careersalsacstjude/job/memphis-tn/intern---data-science---memphis--tn-or-remote-_r0009812
,,"Stride, Inc.",Product and Digital Content Intern,https://strideinc.wd1.myworkdayjobs.com/sk/job/us-nationwide---remote/product---digital-content-intern_jr106994
,,Cultural Survival,"Community Media Program Internship, Fall 2025",https://culturalsurvival.bamboohr.com/careers/86
,,SIL Global,Interim Software Developer,https://wycliffe.wd1.myworkdayjobs.com/sil_careers/job/worldwide/interim-software-developer---intern_r15257
,,Wurl,Full Stack Software Engineer Intern,https://boards.greenhouse.io/wurljobs/jobs/4454109006
,,Conduent,Cyber Security Engineer Internship,https://egua.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/12963
,,Gaianet,Developer Advocate,https://boards.greenhouse.io/codex/jobs/6918949
,,Gaianet,Junior Developer,https://boards.greenhouse.io/codex/jobs/6918941
,,Logo Logos,Developer Advocate,https://boards.greenhouse.io/logos/jobs/6918950
,,Logo Logos,Junior Developer,https://boards.greenhouse.io/logos/jobs/6918947
,,Rowland Investisure,Entry Level Human Resources - Retirement Benefits,https://rowlandinvestisure.applytojob.com/apply/a7syna2d7x/entry-level-human-resources-retirement-benefits-work-from-home
,,Brilliant PR & Marketing,IT Support Intern,https://brilliantproductsinternationalinc.applytojob.com/apply/bgk9am2ltt/it-support-internship
,,Prosidium Warranty & Capital,"Summer Internship - IT, Finance, Operations, Compliance",https://prosidiumusa.recruitee.com/o/finance-internship-program-summer-2025-2
,,Spot AI,AI Agent Implementation Intern,https://boards.greenhouse.io/spotai/jobs/6587431003
,,"TechFlow, Inc.",Electrical Engineer Intern,https://apply.workable.com/techflow/j/CE727F3B7E
,,Arcadis,Intern Architect,https://ebcs.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/30959
,,Rowland Investisure,Human Resources Internship - Retirement Benefits,https://rowlandinvestisure.applytojob.com/apply/yxrzml8ust/internship-human-resources-retirement-benefits-work-from-home
,,Blue Robotics,Software Engineer Intern,https://bluerobotics.applytojob.com/apply/cd7xpwnpa5/software-engineer-intern
,,Grow Financial Federal Credit Union,Credit Analyst Intern,https://careers-growfinancial.icims.com/jobs/2484/credit-analyst-intern/job?in_iframe=1
,,Wurl,Data Engineer Intern,https://boards.greenhouse.io/wurljobs/jobs/4570159006
,,Wurl,Data Engineer Intern,https://boards.greenhouse.io/wurljobs/jobs/4570158006
,,Apiture,Software Instructional Writer Intern,https://boards.greenhouse.io/apiture66/jobs/8003868002
,,CALSTART,Data Software Engineer Intern,https://jobs.lever.co/calstart/ac016f4d-6c58-4dc5-9e1d-546758603308
,,CALSTART,Data Engineering Intern,https://jobs.lever.co/calstart/c8b8528f-a262-4236-a817-3a649c31ea4a
,,"Veracity Insurance Solutions, LLC","Online Customer Service Trainee, Spanish Speaking",https://veracityinsurance.applytojob.com/apply/jjapanqz9o/online-customer-service-trainee-spanish-speaking
,,Cambium Learning Group,Machine Learning Engineer Intern,https://cambiumlearning.wd1.myworkdayjobs.com/camb/job/remote/machine-learning-engineering-intern_req-4058-1
,,"Escalon Services, LLC","Web Developer - Designer Intern, WordPress and Front-End",https://escalon-services.pinpointhq.com/en/postings/d8dbb9da-2f1a-4f83-b6f6-d977b1cf5a7a
,,"Veracity Insurance Solutions, LLC",Online Customer Service Trainee - Spanish Speaking,https://veracityinsurance.applytojob.com/apply/jjapanqz9o/online-customer-service-trainee-remote-spanish-speaking
,,Substance,Brand Strategist - Creative Copywriter,https://apply.workable.com/getsubstance/j/2A33F27421
,,GE HealthCare,PCS Field Engineer Apprentice,https://gehc.wd5.myworkdayjobs.com/gehc_externalsite/job/remote/pcs-field-engineer-apprentice--southwest-florida--tampa-bay-_r4024098-1
,,Siemens Healthineers,Site Installation Engineer - Remote,https://onehealthineers.wd3.myworkdayjobs.com/shsjb/job/mlv-lb/site-installation-engineer---remote-to-dallas-houston---entry-level_r-21932-2
,,Bot Auto,Policy and Cybersecurity Intern,https://boards.greenhouse.io/botauto/jobs/4679212008
,,Iambic Therapeutics,Graduate Research Intern - Machine Learning,https://jobs.ashbyhq.com/iambic-therapeutics/58cce69b-3d9b-4935-9a65-41cbc528f37e
,,GE HealthCare,Surgery Field Engineer Apprentice,https://gehc.wd5.myworkdayjobs.com/gehc_externalsite/job/remote/surgery-field-engineer-apprentice--northern-california--utah-_r4024092-2
,,HeyGen,AI Research Intern,https://boards.greenhouse.io/heygen/jobs/4598879007
,,Softcom Systems Inc,Machine Learning Research Intern - ILT Model Development,https://jobs.ashbyhq.com/natcast/fab7845f-825a-4a73-8f02-0ceb01e0caee
,,Softcom Systems Inc,Data Analytics Research Intern - EUV Process Optimization,https://jobs.ashbyhq.com/natcast/37b29a96-3a7c-4f9b-9c33-f276097724c8
,,Team Venti - Microsoft Partner,Cloud Infrastructure Intern,https://teamventi.zohorecruit.com/jobs/careers/582084000005042002/SysAdmin-Cloud-Infrastructure-Intern?source=CareerSite
,,ATPCO,Cloud Engineer Intern,https://jobs.smartrecruiters.com/atpco1/744000057873786-cloud-engineer-intern
,,GE HealthCare,Client Service Technician Apprentice,https://gehc.wd5.myworkdayjobs.com/gehc_externalsite/job/remote/client-service-technician-apprentice--east-bay--ca---sacramento--ca-_r4023850-1
,,Forbes,Staff Writer - Internship,https://jobs.smartrecruiters.com/forbesadvisor/3743990008200034-internship-staff-writer-remote-
,,auxmoney,Intern - Institutional Investors & Financial Operations,https://auxmoney-gmbh.jobs.personio.com/job/2142149?language=en
,,MSD in the UK,Trainee Fire Protection Engineer,https://apply.workable.com/alarm-communications-limited/j/9B2FF04942
,,Virtuozzo,AI Intern,https://virtuozzo.bamboohr.com/careers/283
,,Multiplica Talent,WordPress Developer - Trainee,https://apply.workable.com/multiplicatalent/j/11FD0B5491
,,IMP Software,Graduate Software Developer,https://careers.impsoftware.co.uk/jobs/5949304-graduate-software-developer
,,Genpact,Accountant - Commercial Accounting - Domain Trainee - Danish - Remote EMEA,https://genpact.taleo.net/careersection/sgy_external_career_section/jobdetail.ftl?job=man020557
,,Genpact,Accountant - Commercial Accounting - Domain Trainee - Norwegian - Remote EMEA,https://genpact.taleo.net/careersection/sgy_external_career_section/jobdetail.ftl?job=man020556
,,MI-C3 International Ltd,Software Development - Fully Remote,https://mic3.bamboohr.com/careers/120
,,1KOMMA5°,Working Student IT-Projektmanagement,https://1komma5grad.jobs.personio.com/job/1426791?language=en
,,Anchorage Digital,Masters Software Engineering Internship - Frontend,https://jobs.lever.co/anchorage/5ee1e2cb-df66-4c42-a4a4-ab534c57e6c1
,,BEFORE EIGHT Group GmbH,A&R Trainee Program,https://join.com/companies/beforeeight/14265425-a-and-r-trainee-program-at-chapter-eight-records-now-recruiting-for-september-2025
,,Thermo Fisher Scientific,Technical Support Application Apprentice,https://thermofisher.wd5.myworkdayjobs.com/thermofishercareers/job/remote-united-kingdom/technical-application-specialist-apprentice_r-01311171
,,Scalable,Working Student Software Engineering - Fullstack,https://jobs.smartrecruiters.com/scalablegmbh/744000061605481-working-student-software-engineering-fullstack-m-f-x-
,,FAFS Fire & Security,Apprentice Service Engineer,https://apply.workable.com/fafs-fireand-security/j/A7915F7E96
,,Vista,Procurement Data Engineer Intern,"https://jobs.vista.com/Cimpress-Services/job/Procurement-Data-Engineer-Intern,-PEX-team-Netherlands-Remote/1295982100/"
,,empower,Werkstudent - Junior Softwareentwickler,https://join.com/companies/empowersuite/14270143-werkstudent-in-junior-softwareentwickler-m-w-d
,,United Tech,Trainee Affiliate Manager,https://jobs.lever.co/vacancies/6e94bf07-8514-40f4-a8a9-927b1baf8850
,,BEFORE EIGHT Group GmbH,A&R Trainee,https://join.com/companies/beforeeight/14265425-a-and-r-trainee-program-at-chapter-eight-records-now-recruiting-for-july-2025
,,SyncVR Medical,Visual Content and Video Editing Intern,https://join.com/companies/syncvr/14263545-visual-content-and-video-editing-internship-remote
,,Genpact,Accounts Payable Operations Specialist - Domain Trainee - Italian - Remote,https://genpact.taleo.net/careersection/sgy_external_career_section/jobdetail.ftl?job=man020513
,,Forbes,Staff Writer,https://jobs.smartrecruiters.com/forbesadvisor/3743990008101006-internship-staff-writer-remote-
,demodaten@demo.de,qwp,Werkstudent Content & Community Management,https://qwp-gmbh.jobs.personio.com/job/1686858?language=en
,,HP,Graduate Care Center Remote Support Engineer - German Speaking,https://hp.wd5.myworkdayjobs.com/externalcareersite/job/sant-cugat-del-valles-barcelona-spain/graduate---care-center-indigo-remote-support-engineer---german-speaking_uni2465-2
,,Digitale Leute,Trainee Product Manager,https://join.com/companies/digitale-leute/14235364-trainee-product-manager-m-w-d
,,Feelgrounds Barefoot Shoes,Praktikant - Werkstudent Copywriting,https://join.com/companies/feelgrounds/14241073-praktikant-werkstudent-copywriting-m-w-d
,,HP France,Care Center Remote Support Engineer - German Speaking,https://hp.wd5.myworkdayjobs.com/exteu-ac-careersite/job/sant-cugat-del-valles-barcelona-spain/graduate---care-center-indigo-remote-support-engineer---german-speaking_uni2465
,,Contabo,Working Student QA Engineer,https://contabo.jobs.personio.com/job/2132036?language=en
,,WHO&Co.,Trainee Headhunting and Recruiting,https://who-co.zohorecruit.com/jobs/careers/583977000055920280/Trainee-Headhunting-Recruiting?source=CareerSite
,,EY,Intern - Cyber Security,https://careers.ey.com/ey/job/Katowice-EY-GDS-Internship-Program-Multiple-Opportunities-in-Cyber-Security-Team-Katowice-%C5%9Al%C4%85s-40-028/1208301601/
,,Genpact,"Sourcing and Procurement - Domain Trainee, Italian - Remote",https://genpact.taleo.net/careersection/sgy_external_career_section/jobdetail.ftl?job=hms057769
,,EY,Junior Front-End Developer,https://careers.ey.com/ey/job/Katowice-EY-GDS-Internship-Program-Junior-Front-End-Developer-Katowice-%C5%9Al%C4%85s-40-028/1207563401/
,,EY,Junior Data Engineer,https://careers.ey.com/ey/job/Katowice-EY-GDS-Internship-Program-Junior-Data-Engineer-Katowice-%C5%9Al%C4%85s-40-028/1207579001/
,,GLORY,Entry Level Engineer,https://gloryglobal.pinpointhq.com/en/postings/7ea5965f-992b-47ad-8a79-7f2022c85b64
,,EY,Junior Data Scientist,https://careers.ey.com/ey/job/Katowice-EY-GDS-Internship-Program-Junior-Data-Science-in-Katowice-%C5%9Al%C4%85s-40-028/1207575101/
,,EY,Junior RPA Developer,https://careers.ey.com/ey/job/Katowice-EY-GDS-Internship-Program-Junior-RPA-Developer-in-Katowice-%C5%9Al%C4%85s-40-028/1207568501/
,,EY,Junior Data Engineer,https://careers.ey.com/ey/job/Katowice-EY-GDS-Internship-Program-Junior-Data-Engineer-in-Katowice-%C5%9Al%C4%85s-40-028/1207579001/
,,EY,Junior Front-End Developer,https://careers.ey.com/ey/job/Katowice-EY-GDS-Internship-Program-Junior-Front-End-Developer-in-Katowice-%C5%9Al%C4%85s-40-028/1207563401/
,,EY,Junior Data Scientist,https://careers.ey.com/ey/job/Katowice-EY-GDS-Internship-Program-Junior-Data-Science-Katowice-%C5%9Al%C4%85s-40-028/1207575101/
,,EY,Junior Power Platform Developer,https://careers.ey.com/ey/job/Katowice-EY-GDS-Internship-Program-Junior-Power-Platform-Developer-Katowice-%C5%9Al%C4%85s-40-028/1207568501/
,,Analogue Insight™,Analog Mixed Signal Circuit Design Intern,https://analogueinsight.bamboohr.com/careers/44
,,"Genesis Digital, LLC",Software Development Intern,https://genesisdigital.bamboohr.com/careers/132
,,DCF Verlag GmbH,Trainee Redakteur - Vollzeit,https://dcfverlag.recruitee.com/o/trainee-redakteur-in-vollzeit-mwd-3-24
,,yoummday,Werkstudent:in MLOps,https://yoummday-gmbh.jobs.personio.com/job/2127776?language=en
,,European Open Science,Full Stack Software Developer Intern,https://jobs.recooty.com/european-open-science/full-stack-software-developer-intern-part-time-remote-eu106
,,Primary Goal,"Work-Based Coach - Digital Apprenticeships, ICT Level 3 & Network Engineer Level 4",https://primarygoal.applytojob.com/apply/ogte9mropc/workbased-coach-digital-apprenticeships-ict-level-3-network-engineer-level-4
,,Laba,Digital Marketing Trainee,https://apply.workable.com/laba/j/6AF3A7DD61
,,dreifach.ai,Werkstudent:in Automation Engineer,https://join.com/companies/dreifach/14267239-werkstudent-in-content-creation-bei-koelner-startup-m-w-d
,,DCF Verlag GmbH,Trainee SEO Manager,https://dcfverlag.recruitee.com/o/trainee-online-marketing-in-vollzeit-mwd-4-19
,careers@cariad.technology,Volkswagen Group,Product Safety and Security Intern,https://jobs.volkswagen-group.com/cariad/job/Ingolstadt-Internship-Working-Student-Product-Safety-&amp;-Security-(fmd)-85053/1205861701/
,,RWS Group,Trainee Translator - Norwegian,https://careers-rws.icims.com/jobs/5007/trainee-translator-%28remote%29---norwegian/job?in_iframe=1
,,hyrise,"Talent Acquisition Sourcer, Internship, Remote, German Speaker",https://join.com/companies/hyrise/14269568-talent-acquisition-sourcer-internship-working-student-remote-german-speaker-m-f-x
,,Volkswagen Group,Working Student - Compliance and Data Protection,https://jobs.volkswagen-group.com/cariad/job/Wolfsburg-Working-Student-Compliance-and-Data-Protection-(fmd)-38440/1204926301/
,,AML RightSource,"Entry-Level AML Analyst, German",https://amlrightsource.wd1.myworkdayjobs.com/amlrightsource/job/remote---poland/entry-level-aml-analyst-with-german---remote--poland_r-101356-1
,,IMPACT BRANDS,Quality Assurance Intern - Operations,https://impactbrands.recruitee.com/o/junior-operations-qa-specialist-intern
,,Xentral ERP Software,Working Student - Data Science,https://jobs.eu.lever.co/xentral/45553cc5-db3b-45ba-bd80-e008ee31d295
,,Kindgeek,Trainee - Junior Business Development Manager,https://kindgeeks.breezy.hr/p/c253539fe3dd-trainee-junior-business-development-manager
,,Roller Software,DevOps Intern,https://rollee.bamboohr.com/careers/50
,,Laba,Educational Content Producer - Trainee,https://apply.workable.com/laba/j/0D52231C67
,,Benetton Group,Social Media and Digital Marketing Intern - AI and Travel Focus,https://jobs.smartrecruiters.com/ironicmusicbookingagencyllc/744000059367825-social-media-digital-marketing-internship-for-credit-unpaid-ai-travel-focus-
,,Volkswagen Group,Internship - Data Science & Engineering,https://jobs.volkswagen-group.com/cariad/job/Berlin-Internship-Data-Science-&amp;-Engineering-(fmd)-10178/1202645901/
,,CrazyGames,Partnership Manager - Paid Internship,https://crazygames.recruitee.com/o/partnership-manager-intern
,,Deutsche Telekom IT Solutions HU,Security Management Specialist - Trainee,https://jobs.smartrecruiters.com/deutschetelekomitsolutions/744000059306485-security-management-specialist-trainee-ref4201n-
,,DataVisor,Software Engineer Intern,https://apply.workable.com/datavisor-jobs/j/465346E958
,,Rentokil Initial,Junior Demand Data Analyst,https://jobs.smartrecruiters.com/rentokilinitial1/744000059021166-next-step-internship-program-junior-demand-data-analyst-bergamo
,,EY,"Cyber Architecture, OT & Engineering Internship","https://careers.ey.com/ey/job/Katowice-EY-GDS-Internship-Program-Cyber-Architecture,-OT-&amp;-Engineering-Katowice-%C5%9Al%C4%85s-40-028/1203474901/"
,,Tomes GmbH,Werkstudent QA Engineering,https://join.com/companies/idana/14238070-werkstudent-in-qa-engineering-m-w-d
,,MANAGBL.AI,Prompt Engineering - Testing Developer,https://join.com/companies/managbl/14301575-prompt-engineering-und-testing-developer-m-w-d-praktikum-werkstudent
,,EY,"Junior Java Engineer, French",https://careers.ey.com/ey/job/Katowice-Internship-Junior-Java-Engineer-with-French-%C5%9Al%C4%85s-40-028/1202887301/
,,NVIDIA,HPC and AI Software Architecture Intern,https://nvidia.wd5.myworkdayjobs.com/nvidiaexternalcareersite/job/switzerland-zurich/hpc-and-ai-software-architecture-intern---2025_jr1993534
,,NewNow,Intern - AI Solutions - Project Management & Business Development,https://join.com/companies/newnow/14298639-intern-ai-solutions-project-management-und-business-development
,,PQ Magazine,Digital Support Technician - Apprenticeship Coach,https://apply.workable.com/ecareers/j/1F4D081358
,,Benetton Group,AI-Driven Social Media - Digital Marketing Internship,https://jobs.smartrecruiters.com/ironicmusicbookingagencyllc/744000058520702-ai-driven-social-media-digital-marketing-internship
,,Volkswagen Group,Internship - Predevelopment of AI Projects Based on Multi-Modal LLMs,https://jobs.volkswagen-group.com/cariad/job/Ingolstadt-Internship-Predevelopment-of-AI-projects-based-on-multi-modal-LLMs-(mfd)-85053/1200847001/
,,Volkswagen Group,Intern - AI-Based Localization for Autonomous Driving,https://jobs.volkswagen-group.com/cariad/job/M%C3%B6nsheim-Internship-AI-Based-Localization-for-Autonomous-Driving-(fmd)-71297/1201293301/
,,Volkswagen Group,Intern - AI-Based Localization for Autonomous Driving,https://jobs.volkswagen-group.com/cariad/job/M%C3%B6nsheim-Internship-AI-Based-Localization-for-Autonomous-Driving-(fmd)-71297/1201293201/
,,SPECTRUM AG,Trainee Area Sales Manager - Finanzdienstleistungen,https://join.com/companies/spectrum-ag/14271114-trainee-area-sales-manager-finanzdienstleistungen-m-w-d
,,1KOMMA5°,Working Student - Tech Project Management,https://1komma5grad.jobs.personio.com/job/2085048?language=en
,,Líbere Hospitality Group,Safety and Security Intern,https://alliron.teamtailor.com/jobs/5890208-openings-safety-security-intern
,,relokate,Working Student - HR Operations - Global Mobility,https://join.com/companies/relokate/14261406-job-title-working-student-hr-operations-global-mobility-w-m-d-15-20-hours-per-week
